SampleID	Original_name.x	species	Bat.Number	spec_abbv	sex	area	sampling_site	cave_or_surface	state	ecoregion_iv	season	elevation	evl_source	mean_precip_cm	precip_source	npp	npp_source	log_npp	avg_dissm	mean_dist_km	Feeding.Flight.behavior	Diet	Date	Month	month_cat	Year	Forearm	Mass	SurfaceArea	Mean.Aspect.Ratio	Original_name.y	Temp_regress_degC	Temp_ori	other_temp
CC14062025	CC140620.25	Myotis velifer	NM14048	MYVE	Male	CCNP	Lefthand Tunnel	Cave	NM	Chihuahuan Desert Slopes	Spring	1330	USGS NED1	27.4	Worldclim 2_5 arc min	0.18	MOD17A3	-0.744727495	0.898401338	418.540455	Aerial hawking	generalistbeetles	6202014	6	June	2014	44	9.75	214.7215909	4.13	CC140620.25	16.3	16.3oC	
CC14062029	CC140620.29	Myotis thysanodes	NM14049	MYTH	Male	CCNP	Lefthand Tunnel	Cave	NM	Chihuahuan Desert Slopes	Summer	1330	USGS NED1	27.4	Worldclim 2_5 arc min	0.18	MOD17A3	-0.744727495	0.890356547	418.540455			6202014	6	June	2014	43	7.75	166.8052326	3.81	CC140620.29	16.3	16.3oC	
CC14062033	CC140620.33	Myotis velifer	NM14050	MYVE	Male	CCNP	Lefthand Tunnel	Cave	NM	Chihuahuan Desert Slopes	Spring	1330	USGS NED1	27.4	Worldclim 2_5 arc min	0.18	MOD17A3	-0.744727495	0.906561871	418.540455	Aerial hawking	generalistbeetles	6202014	6	June	2014	45	9.75	219.5916667	4.13	CC140620.33	16.3	16.3oC	
CC14062037	CC140620.37	Myotis thysanodes	NM14059	MYTH	Male	CCNP	Lefthand Tunnel	Cave	NM	Chihuahuan Desert Slopes	Summer	1330	USGS NED1	27.4	Worldclim 2_5 arc min	0.18	MOD17A3	-0.744727495	0.924673381	418.540455			6202014	6	June	2014	43	7.25	156.0436047	3.81	CC140620.37	16.3	16.3oC	
CC1406205	CC140620.5	Myotis velifer	NM14046	MYVE	Female	CCNP	Lefthand Tunnel	Cave	NM	Chihuahuan Desert Slopes	Spring	1330	USGS NED1	27.4	Worldclim 2_5 arc min	0.18	MOD17A3	-0.744727495	0.922516541	418.540455	Aerial hawking	generalistbeetles	6202014	6	June	2014	45	10	225.2222222	4.13	CC140620.5	16.3	16.3oC	
CC1406209	CC140620.9	Myotis thysanodes	NM14054	MYTH	Female	CCNP	Lefthand Tunnel	Cave	NM	Chihuahuan Desert Slopes	Summer	1330	USGS NED1	27.4	Worldclim 2_5 arc min	0.18	MOD17A3	-0.744727495	0.906680117	418.540455			6202014	6	June	2014	44	9.75	214.7215909	3.81	CC140620.9	16.3	16.3oC	
CLC11F	CLC11B	Corynorhinus townsendii	NM1212	COTO	Male	ELMA	Classic	Cave	NM	Lava Malpais	Spring	2289	USGS NED1	29.25	Worldclim 2_5 arc min	0.1	MOD17A3	-1	0.918864437	295.7785535	Aerial hawking	moths	4192012	4	April	2012	43	7.75	166.8052326	5.6	CLC11B	2.8	2.8oC	2.2, 1.6,oC
CLC1404201	CLC140420.1	Corynorhinus townsendii	NM14008	COTO	Male	ELMA	Classic	Cave	NM	Lava Malpais	Spring	2289	USGS NED1	29.25	Worldclim 2_5 arc min	0.1	MOD17A3	-1	0.939437176	295.7785535	Aerial hawking	moths	4202014	4	April	2014	42	8	168.1904762	5.6	CLC140420.1	3.5	N/A	3.3, 3.5, 3.9, 2.9, 3.9
CLC1404207	CLC140420.7	Corynorhinus townsendii	NM14009	COTO	Female	ELMA	Classic	Cave	NM	Lava Malpais	Spring	2289	USGS NED1	29.25	Worldclim 2_5 arc min	0.1	MOD17A3	-1	0.946266083	295.7785535	Aerial hawking	moths	4202014	4	April	2014	44	9.75	214.7215909	5.6	CLC140420.7	4.5	N/A	3.3, 3.5, 3.9, 2.9, 3.10
CLC2F	CLC2B	Corynorhinus townsendii	NM1209	COTO	Female	ELMA	Classic	Cave	NM	Lava Malpais	Spring	2289	USGS NED1	29.25	Worldclim 2_5 arc min	0.1	MOD17A3	-1	0.905046603	295.7785535	Aerial hawking	moths	4192012	4	April	2012	44	9.25	203.7102273	5.6	CLC2B	2.2	N/A	2.8, 2.2, 1.6oC
CLC5F	CLC5B	Corynorhinus townsendii	NM1210	COTO	Female	ELMA	Classic	Cave	NM	Lava Malpais	Spring	2289	USGS NED1	29.25	Worldclim 2_5 arc min	0.1	MOD17A3	-1	0.91099519	295.7785535	Aerial hawking	moths	4192012	4	April	2012	43	8.5	182.9476744	5.6	CLC5B	2.2	2.2oC	2.8, 1.6 oC
CLC8F	CLC8B	Corynorhinus townsendii	NM1211	COTO	Male	ELMA	Classic	Cave	NM	Lava Malpais	Spring	2289	USGS NED1	29.25	Worldclim 2_5 arc min	0.1	MOD17A3	-1	0.931406624	295.7785535	Aerial hawking	moths	4192012	4	April	2012	44	7.75	170.6761364	5.6	CLC8B	1.6	1.6oC	2.8, 2.2 oC
CRY1405051	CRY140505.1	Myotis velifer	NM14039	MYVE	Male	HGL	CRY	Cave	NM	Chihuahuan Basins and Playas	Spring	1201	USGS NED1	26	Worldclim 2_5 arc min	0.17	MOD17A3	-0.769551079	0.903159646	269.2229761	Aerial hawking	generalistbeetles	5052014	5	May	2014	45	8.25	185.8083333	4.13	CRY140505.1	9.4	9.4 oC	
CRY14050513	CRY140505.13	Myotis velifer	NM14042	MYVE	Female	HGL	CRY	Cave	NM	Chihuahuan Basins and Playas	Spring	1201	USGS NED1	26	Worldclim 2_5 arc min	0.17	MOD17A3	-0.769551079	0.914635592	269.2229761	Aerial hawking	generalistbeetles	5052014	5	May	2014	43	8.5	182.9476744	4.13	CRY140505.13	9.4	9.4 oC	
CRY14050517	CRY140505.17	Myotis velifer	NM14043	MYVE	Male	HGL	CRY	Cave	NM	Chihuahuan Basins and Playas	Spring	1201	USGS NED1	26	Worldclim 2_5 arc min	0.17	MOD17A3	-0.769551079	0.9365719	269.2229761	Aerial hawking	generalistbeetles	5052014	5	May	2014	45	9.5	213.9611111	4.13	CRY140505.17	9.4	9.4 oC	
CRY14050521	CRY140505.21	Myotis velifer	NM14044	MYVE	Female	HGL	CRY	Cave	NM	Chihuahuan Basins and Playas	Spring	1201	USGS NED1	26	Worldclim 2_5 arc min	0.17	MOD17A3	-0.769551079	0.91540537	269.2229761	Aerial hawking	generalistbeetles	5052014	5	May	2014	44	9	198.2045455	4.13	CRY140505.21	9.4	9.4 oC	
CRY1405055	CRY140505.5	Myotis velifer	NM14040	MYVE	Male	HGL	CRY	Cave	NM	Chihuahuan Basins and Playas	Spring	1201	USGS NED1	26	Worldclim 2_5 arc min	0.17	MOD17A3	-0.769551079	0.919637775	269.2229761	Aerial hawking	generalistbeetles	5052014	5	May	2014	44	8.75	192.6988636	4.13	CRY140505.5	9.4	9.4 oC	
CRY1405059	CRY140505.9	Myotis velifer	NM14041	MYVE	Male	HGL	CRY	Cave	NM	Chihuahuan Basins and Playas	Spring	1201	USGS NED1	26	Worldclim 2_5 arc min	0.17	MOD17A3	-0.769551079	0.910467549	269.2229761	Aerial hawking	generalistbeetles	5052014	5	May	2014	44	8.75	192.6988636	4.13	CRY140505.9	9.4	9.4 oC	
ELMA1308141	ELMA130814.1	Myotis evotis	1308142041	MYEV	Male	ELMA	Cerro Rendija	Surface	NM	Lava Malpais	Summer	2333	USGS NED1	30.75	Worldclim 2_5 arc min	0.36	MOD17A3	-0.443697499	0.871573606	295.9247983			8142014	8	August	2014	NA	NA	NA	6.1	ELMA130814.1	17	17.0oC (Soil)	
ELMA13081411	ELMA130814.11	Myotis ciliolabrum	1308142228	MYCI	Male	ELMA	Cerro Rendija	Surface	NM	Lava Malpais	Summer	2333	USGS NED1	30.75	Worldclim 2_5 arc min	0.36	MOD17A3	-0.443697499	0.856762853	295.9247983	Aerial hawking		8142014	8	August	2014	NA	NA	NA	6.1	ELMA130814.11	17	17.0oC (Soil)	
ELMA13081416	ELMA130814.16	Eptesicus fuscus	1308142247	EPFU	Male	ELMA	Cerro Rendija	Surface	NM	Lava Malpais	Summer	2333	USGS NED1	30.75	Worldclim 2_5 arc min	0.36	MOD17A3	-0.443697499	0.875629904	295.9247983	Aerial hawking	generalistbeetles	8142014	8	August	2014	NA	NA	NA	6.4	ELMA130814.16	17	17.0oC (Soil)	
ELMA13081417	ELMA130814.17	Eptesicus fuscus	1308142303	EPFU	Male	ELMA	Cerro Rendija	Surface	NM	Lava Malpais	Summer	2333	USGS NED1	30.75	Worldclim 2_5 arc min	0.36	MOD17A3	-0.443697499	0.965950638	295.4664564	Aerial hawking	generalistbeetles	8142014	8	August	2014	NA	NA	NA	6.4	ELMA130814.17	17	17.0oC (Soil)	
ELMA13081418	ELMA130814.18	Myotis volans	1308142329	MYVO	Male	ELMA	Cerro Rendija	Surface	NM	Lava Malpais	Summer	2333	USGS NED1	30.75	Worldclim 2_5 arc min	0.36	MOD17A3	-0.443697499	0.901636727	295.4664564	Aerial hawking	generalist	8142014	8	August	2014	NA	NA	NA	6.64	ELMA130814.18	17	17.0oC (Soil)	
ELMA1308142	ELMA130814.2	Myotis evotis	1308142051	MYEV	Male	ELMA	Cerro Rendija	Surface	NM	Lava Malpais	Spring	2333	USGS NED1	30.75	Worldclim 2_5 arc min	0.36	MOD17A3	-0.443697499	0.874228632	295.4664564	Aerial hawking	generalistbeetles	8142014	8	August	2014	NA	NA	NA	6.1	ELMA130814.2	17	17.0oC (Soil)	
ELMA1308143	ELMA130814.3	Myotis evotis	1308142052	MYEV	Male	ELMA	Cerro Rendija	Surface	NM	Lava Malpais	Spring	2333	USGS NED1	30.75	Worldclim 2_5 arc min	0.36	MOD17A3	-0.443697499	0.937160299	298.0114295	Aerial hawking	generalistbeetles	8142014	8	August	2014	NA	NA	NA	6.1	ELMA130814.3	17	17.0oC (Soil)	
ELMA1308144	ELMA130814.4	Myotis thysanodes	1308142053	MYTH	Male	ELMA	Cerro Rendija	Surface	NM	Lava Malpais	Summer	2333	USGS NED1	30.75	Worldclim 2_5 arc min	0.36	MOD17A3	-0.443697499	0.915774934	295.4664564			8142014	8	August	2014	NA	NA	NA	3.81	ELMA130814.4	17	17.0oC (Soil)	
ELMA1308145	ELMA130814.5	Myotis evotis	1308142054	MYEV	Male	ELMA	Cerro Rendija	Surface	NM	Lava Malpais	Spring	2333	USGS NED1	30.75	Worldclim 2_5 arc min	0.36	MOD17A3	-0.443697499	0.946872828	295.4664564	Aerial hawking	generalistbeetles	8142014	8	August	2014	NA	NA	NA	6.1	ELMA130814.5	17	17.0oC (Soil)	
ELMA1308146	ELMA130814.6	Eptesicus fuscus	1308142055	EPFU	Female	ELMA	Cerro Rendija	Surface	NM	Lava Malpais	Summer	2333	USGS NED1	30.75	Worldclim 2_5 arc min	0.36	MOD17A3	-0.443697499	0.947070231	269.4845519	Aerial hawking	generalistbeetles	8142014	8	August	2014	NA	NA	NA	6.4	ELMA130814.6	17	17.0oC (Soil)	
ELMA1406051	ELMA140605.1	Eptesicus fuscus	NA	EPFU	Female	ELMA	Cerrito Comadre	Surface	NM	Lava Malpais	Summer	2330	USGS NED1	30.4	Worldclim 2_5 arc min	0.2	MOD17A3	-0.698970004	0.915617829	269.644673	Aerial hawking	generalistbeetles	6052014	6	June	2014	NA	NA	NA	6.4	ELMA140605.1	20.9	20.9oC (Soil)	
ELMA14060513	ELMA140605.13	Eptesicus fuscus	1406052124	EPFU	Male	ELMA	Cerrito Comadre	Surface	NM	Lava Malpais	Summer	2330	USGS NED1	30.4	Worldclim 2_5 arc min	0.2	MOD17A3	-0.698970004	0.882307337	269.644673	Aerial hawking	generalistbeetles	6052014	6	June	2014	NA	NA	NA	6.4	ELMA140605.13	20.9	N/A	20.9, -0.3 oC
ELMA14060517	ELMA140605.17	Eptesicus fuscus	1406052127	EPFU	Male	ELMA	Cerrito Comadre	Surface	NM	Lava Malpais	Summer	2330	USGS NED1	30.4	Worldclim 2_5 arc min	0.2	MOD17A3	-0.698970004	0.944295627	269.644673	Aerial hawking	generalistbeetles	6052014	6	June	2014	NA	NA	NA	6.4	ELMA140605.17	20.9	N/A	20.9, -0.3 oC
ELMA14060518	ELMA140605.18	Myotis evotis	1406052130	MYEV	Male	ELMA	Cerrito Comadre	Surface	NM	Lava Malpais	Summer	2330	USGS NED1	30.4	Worldclim 2_5 arc min	0.2	MOD17A3	-0.698970004	0.923871597	269.644673	Gleaner	generalistbeetles	6052014	6	June	2014	NA	NA	NA	6.1	ELMA140605.18	20.9	N/A	20.9, -0.3 oC
ELMA14060522	ELMA140605.22	Eptesicus fuscus	1406052136	EPFU	Male	ELMA	Cerrito Comadre	Surface	NM	Lava Malpais	Summer	2330	USGS NED1	30.4	Worldclim 2_5 arc min	0.2	MOD17A3	-0.698970004	0.886495695	270.5327381	Aerial hawking	generalistbeetles	6052014	6	June	2014	NA	NA	NA	6.4	ELMA140605.22	20.9	N/A	20.9, -0.3 oC
ELMA14060523	ELMA140605.23	Lasionycteris noctivagans	1406052116	LANO	Male	ELMA	Cerrito Comadre	Surface	NM	Lava Malpais	Summer	2330	USGS NED1	30.4	Worldclim 2_5 arc min	0.2	MOD17A3	-0.698970004	0.907383552	270.5327381	Aerial hawking	generalistbeetles	6052014	6	June	2014	NA	NA	NA	6.6	ELMA140605.23	20.9	N/A	20.9, -0.3 oC
ELMA14060527	ELMA140605.27	Myotis ciliolabrum	1406052217	MYCI	Male	ELMA	Cerrito Comadre	Surface	NM	Lava Malpais	Summer	2330	USGS NED1	30.4	Worldclim 2_5 arc min	0.2	MOD17A3	-0.698970004	0.899962953	270.5327381	Aerial hawking		6052014	6	June	2014	NA	NA	NA	6.1	ELMA140605.27	20.9	N/A	20.9, -0.3 oC
ELMA14060531	ELMA140605.31	Eptesicus fuscus	1406052202	EPFU	Male	ELMA	Cerrito Comadre	Surface	NM	Lava Malpais	Summer	2330	USGS NED1	30.4	Worldclim 2_5 arc min	0.2	MOD17A3	-0.698970004	0.903420885	270.5327381	Aerial hawking	generalistbeetles	6052014	6	June	2014	NA	NA	NA	6.4	ELMA140605.31	20.9	N/A	20.9, -0.3 oC
ELMA14060532	ELMA140605.32	Myotis evotis	1406052139	MYEV	Male	ELMA	Cerrito Comadre	Surface	NM	Lava Malpais	Summer	2330	USGS NED1	30.4	Worldclim 2_5 arc min	0.2	MOD17A3	-0.698970004	0.941631049	270.5327381	Gleaner	generalistbeetles	6052014	6	June	2014	NA	NA	NA	6.1	ELMA140605.32	20.9	N/A	20.9, -0.3 oC
ELMA14060536	ELMA140605.36	Myotis evotis	1406052138	MYEV	Male	ELMA	Cerrito Comadre	Surface	NM	Lava Malpais	Summer	2330	USGS NED1	30.4	Worldclim 2_5 arc min	0.2	MOD17A3	-0.698970004	0.838031324	550.4853468	Gleaner	generalistbeetles	6052014	6	June	2014	NA	NA	NA	6.1	ELMA140605.36	20.9	N/A	20.9, -0.3 oC
ELMA14060540	ELMA140605.40	Lasionycteris noctivagans	1406052148	LANO	Male	ELMA	Cerrito Comadre	Surface	NM	Lava Malpais	Summer	2330	USGS NED1	30.4	Worldclim 2_5 arc min	0.2	MOD17A3	-0.698970004	0.898211272	566.6633021	Aerial hawking	generalist	6052014	6	June	2014	NA	NA	NA	6.6	ELMA140605.40	20.9	N/A	20.9, -0.3 oC
ELMA14060544	ELMA140605.44	Myotis ciliolabrum	1406052222	MYCI	Male	ELMA	Cerrito Comadre	Surface	NM	Lava Malpais	Summer	2330	USGS NED1	30.4	Worldclim 2_5 arc min	0.2	MOD17A3	-0.698970004	0.836030101	566.6633021	Aerial hawking		6052014	6	June	2014	NA	NA	NA	6.1	ELMA140605.44	20.9	N/A	20.9, -0.3 oC
ELMA14060547	ELMA140605.47	Lasionycteris noctivagans	1406052240	LANO	Male	ELMA	Cerrito Comadre	Surface	NM	Lava Malpais	Summer	2330	USGS NED1	30.4	Worldclim 2_5 arc min	0.2	MOD17A3	-0.698970004	0.849357844	566.6633021	Aerial hawking	generalist	6052014	6	June	2014	NA	NA	NA	6.6	ELMA140605.47	20.9	-0.3 oC	20.9
ELMA1406055	ELMA140605.5	Eptesicus fuscus	1406052154	EPFU	Female	ELMA	Cerrito Comadre	Surface	NM	Lava Malpais	Summer	2330	USGS NED1	30.4	Worldclim 2_5 arc min	0.2	MOD17A3	-0.698970004	0.867825157	566.6633021	Aerial hawking	generalistbeetles	6052014	6	June	2014	NA	NA	NA	6.4	ELMA140605.5	20.9	20.9oC (Soil)	
ELMA1406059	ELMA140605.9	Myotis ciliolabrum	1406122143	MYCI	Male	ELMA	Cerrito Comadre	Surface	NM	Lava Malpais	Summer	2330	USGS NED1	30.4	Worldclim 2_5 arc min	0.2	MOD17A3	-0.698970004	0.862147945	566.6633021	Aerial hawking		6052014	6	June	2014	NA	NA	NA	6.1	ELMA140605.9	15.4	15.4oC (Soil)	
ELMA1406121	ELMA140612.1	Myotis ciliolabrum	1406122146	MYCI	Female	ELMA	Cerrito Comadre	Surface	NM	Lava Malpais	Summer	2330	USGS NED1	30.4	Worldclim 2_5 arc min	0.2	MOD17A3	-0.698970004	0.848252044	566.6633021	Aerial hawking		6122014	6	June	2014	NA	NA	NA	6.1	ELMA140612.1	21.1	21.1oC (Soil)	
ELMA14061213	ELMA140612.13	Myotis evotis	1406122110	MYEV	Male	ELMA	Cerrito Comadre	Surface	NM	Lava Malpais	Summer	2330	USGS NED1	30.4	Worldclim 2_5 arc min	0.2	MOD17A3	-0.698970004	0.866708271	566.6633021	Gleaner	generalistbeetles	6122014	6	June	2014	NA	NA	NA	6.1	ELMA140612.13	21.1		21.1, 18.3oC (Soil); last air temp taken at 0128 hours
ELMA14061217	ELMA140612.17	Myotis ciliolabrum	1406122127	MYCI	Male	ELMA	Cerrito Comadre	Surface	NM	Lava Malpais	Summer	2330	USGS NED1	30.4	Worldclim 2_5 arc min	0.2	MOD17A3	-0.698970004	0.859853218	566.6633021	Aerial hawking		6122014	6	June	2014	NA	NA	NA	6.1	ELMA140612.17	21.1		21.1, 18.3oC (Soil); last air temp taken at 0128 hours
ELMA14061221	ELMA140612.21	Myotis ciliolabrum	1406122130	MYCI	Male	ELMA	Cerrito Comadre	Surface	NM	Lava Malpais	Summer	2330	USGS NED1	30.4	Worldclim 2_5 arc min	0.2	MOD17A3	-0.698970004	0.879913951	566.6633021	Aerial hawking		6122014	6	June	2014	NA	NA	NA	6.1	ELMA140612.21	21.1		21.1, 18.3oC (Soil); last air temp taken at 0128 hours
ELMA14061225	ELMA140612.25	Lasionycteris noctivagans	1406122054	LANO	Male	ELMA	Cerrito Comadre	Surface	NM	Lava Malpais	Summer	2330	USGS NED1	30.4	Worldclim 2_5 arc min	0.2	MOD17A3	-0.698970004	0.839981545	550.4853468	Aerial hawking	generalist	6122014	6	June	2014	NA	NA	NA	6.6	ELMA140612.25	21.1		21.1, 18.3oC (Soil); last air temp taken at 0128 hours
ELMA14061229	ELMA140612.29	Lasionycteris noctivagans	1406122144	LANO	Male	ELMA	Cerrito Comadre	Surface	NM	Lava Malpais	Summer	2330	USGS NED1	30.4	Worldclim 2_5 arc min	0.2	MOD17A3	-0.698970004	0.851155668	550.4853468	Aerial hawking	generalist	6122014	6	June	2014	NA	NA	NA	6.6	ELMA140612.29	21.1		21.1, 18.3oC (Soil); last air temp taken at 0128 hours
ELMA14061233	ELMA140612.33	Lasionycteris noctivagans	1406122116	LANO	Male	ELMA	Cerrito Comadre	Surface	NM	Lava Malpais	Summer	2330	USGS NED1	30.4	Worldclim 2_5 arc min	0.2	MOD17A3	-0.698970004	0.859828271	550.4853468	Aerial hawking	generalist	6122014	6	June	2014	NA	NA	NA	6.6	ELMA140612.33	21.1		21.1, 18.3oC (Soil); last air temp taken at 0128 hours
ELMA1406125	ELMA140612.5	Tadarida brasiliensis	1406122202	TABR	Female	ELMA	Cerrito Comadre	Surface	NM	Lava Malpais	Summer	2330	USGS NED1	30.4	Worldclim 2_5 arc min	0.2	MOD17A3	-0.698970004	0.845691269	550.4853468	Aerial hawking	mothsbeetles	6122014	6	June	2014	NA	NA	NA	8.6	ELMA140612.5	18.3	18.3oC (Soil)	21.1, 18.3oC (Soil); last air temp taken at 0128 hours
ELMA1406129	ELMA140612.9	Myotis evotis	1406122131	MYEV	Male	ELMA	Cerrito Comadre	Surface	NM	Lava Malpais	Summer	2330	USGS NED1	30.4	Worldclim 2_5 arc min	0.2	MOD17A3	-0.698970004	0.874030246	550.4853468	Gleaner	generalistbeetles	6122014	6	June	2014	NA	NA	NA	6.1	ELMA140612.9	21.1		21.1, 18.3oC (Soil); last air temp taken at 0128 hours
FS10F	FS10B	Corynorhinus townsendii	NM1218	COTO	Female	FS	Hell Hole 2 	Cave	NM	Conifer Woodlands and Savannas	Summer	2134	USGS NED1	35.25	Worldclim 2_5 arc min	0.35	MOD17A3	-0.455931956	0.884357402	270.2610123	Aerial hawking	moths	4212012	4	April	2012	45	10	225.2222222	5.6	FS10B	3.3	3.3oC air	
FS1405021	FS140502.1	Corynorhinus townsendii	NM14012	COTO	Female	FS	Ft Stanton Historic Section	Cave	NM	Conifer Woodlands and Savannas	Spring	2134	USGS NED1	35.25	Worldclim 2_5 arc min	0.35	MOD17A3	-0.455931956	0.902136091	355.7001739	Aerial hawking	moths	5022014	5	May	2014	44	9.75	214.7215909	5.6	FS140502.1	4.6		4.6oC air
FS14050213	FS140502.13	Corynorhinus townsendii	NM14015	COTO	Male	FS	Ft Stanton Historic Section	Cave	NM	Conifer Woodlands and Savannas	Spring	2134	USGS NED1	35.25	Worldclim 2_5 arc min	0.35	MOD17A3	-0.455931956	0.9010636	355.7001739	Aerial hawking	moths	5022014	5	May	2014	43	8.5	182.9476744	5.6	FS140502.13	4.6		4.6oC air
FS14050217	FS140502.17	Corynorhinus townsendii	NM14016	COTO	Male	FS	Ft Stanton Historic Section	Cave	NM	Conifer Woodlands and Savannas	Spring	2134	USGS NED1	35.25	Worldclim 2_5 arc min	0.35	MOD17A3	-0.455931956	0.897526762	355.7001739	Aerial hawking	moths	5022014	5	May	2014	42	7.75	162.9345238	5.6	FS140502.17	4.6		4.6oC air
FS14050221	FS140502.21	Myotis ciliolabrum	NM14017	COTO	Male	FS	Ft Stanton Historic Section	Cave	NM	Conifer Woodlands and Savannas	Spring	2134	USGS NED1	35.25	Worldclim 2_5 arc min	0.35	MOD17A3	-0.455931956	0.897254033	355.7001739	Aerial hawking		5022014	5	May	2014	41	7.75	159.0640244	6.1	FS140502.21	4.6		4.6oC air
FS14050225	FS140502.25	Corynorhinus townsendii	NM14018	MYCI	Male	FS	Hell Hole 2 	Cave	NM	Conifer Woodlands and Savannas	Spring	2134	USGS NED1	35.25	Worldclim 2_5 arc min	0.35	MOD17A3	-0.455931956	0.896520189	270.2610123	Aerial hawking	moths	5022014	5	May	2014	34	4.5	76.63235294	5.6	FS140502.25	4.6		4.6oC air
FS1405025	FS140502.5	Corynorhinus townsendii	NM14013	COTO	Female	FS	Ft Stanton Historic Section	Cave	NM	Conifer Woodlands and Savannas	Spring	2134	USGS NED1	35.25	Worldclim 2_5 arc min	0.35	MOD17A3	-0.455931956	0.903612118	355.7001739	Aerial hawking	moths	5022014	5	May	2014	42	8.5	178.702381	5.6	FS140502.5	4.6		4.6oC air
FS1405029	FS140502.9	Corynorhinus townsendii	NM14014	COTO	Female	FS	Ft Stanton Historic Section	Cave	NM	Conifer Woodlands and Savannas	Spring	2134	USGS NED1	35.25	Worldclim 2_5 arc min	0.35	MOD17A3	-0.455931956	0.904475764	355.7001739	Aerial hawking	moths	5022014	5	May	2014	42	9	189.2142857	5.6	FS140502.9	4.6		4.6oC air
